time,root_pos_x,root_pos_y,root_pos_z,root_quat_w,root_quat_x,root_quat_y,root_quat_z,root_lin_vel_x,root_lin_vel_y,root_lin_vel_z,root_ang_vel_x,root_ang_vel_y,root_ang_vel_z,lumbar_yaw_joint,lumbar_roll_joint,lumbar_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_pitch_joint,left_elbow_yaw_joint,left_wrist_pitch_joint,left_wrist_roll_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_pitch_joint,right_elbow_yaw_joint,right_wrist_pitch_joint,right_wrist_roll_joint,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_pitch_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_pitch_joint,right_ankle_pitch_joint,right_ankle_roll_joint,lumbar_yaw_vel,lumbar_roll_vel,lumbar_pitch_vel,left_shoulder_pitch_vel,left_shoulder_roll_vel,left_shoulder_yaw_vel,left_elbow_pitch_vel,left_elbow_yaw_vel,left_wrist_pitch_vel,left_wrist_roll_vel,right_shoulder_pitch_vel,right_shoulder_roll_vel,right_shoulder_yaw_vel,right_elbow_pitch_vel,right_elbow_yaw_vel,right_wrist_pitch_vel,right_wrist_roll_vel,left_hip_pitch_vel,left_hip_roll_vel,left_hip_yaw_vel,left_knee_pitch_vel,left_ankle_pitch_vel,left_ankle_roll_vel,right_hip_pitch_vel,right_hip_roll_vel,right_hip_yaw_vel,right_knee_pitch_vel,right_ankle_pitch_vel,right_ankle_roll_vel
0.2,0.017338244,0.09167279,0.6359311,0.8825235298141636,0.0216464067501633,0.0170599238030991,0.4694599145816266,0.083735,0.340165,0.025881,0.268673,-0.30987,1.206035,0.4701203400000001,0.0605973269999999,-0.10193725,0.1086478,-0.019930685,0.5795835000000001,0.18507507,0.010310163,0.0,0.0,-0.026763879,-0.029235115,0.32725015,0.092591055,0.00851321,0.0,0.0,0.15907757,-0.09742891,0.58794874,0.2070745199999999,0.168889001,0.037530219,0.6189258500000001,0.22915967,-0.57961595,0.3854611,0.12004926,-0.15937809,-1.14788,0.014925,0.364412,-0.260086,-0.125782,0.198177,-0.017373,0.006532,0.0,0.0,0.468782,0.554206,-1.176489,-0.405211,-0.028067,0.0,0.0,-1.280025,0.238897,-0.05882,0.0944,0.288763,0.763489,-1.033163,0.370144,0.086597,2.397213,0.016655,-0.048962
0.22,0.019049282816622,0.0986876494564673,0.6364251311736875,0.8763488217007761,0.0226358752032157,0.0128461680232194,0.4809733213230907,0.099567,0.429479,0.02778,0.336672,-0.375425,1.379957,0.446377951754338,0.0605441468322343,-0.0940559133855892,0.1034327373546949,-0.0215966992000102,0.5834238590084768,0.1847160698490198,0.0104897160492367,0.0,0.0,-0.0171561382420911,-0.0164446797555839,0.3038624868611376,0.0843732913546154,0.0079385517223468,0.0,0.0,0.132459146705706,-0.0925507887739002,0.5871197544934806,0.2086230778109604,0.1743653991875167,0.052626803859011,0.5970647560339679,0.2365653304121301,-0.5761053572913841,0.4328839457528553,0.1205788997748105,-0.1603410743739087,-1.474798,-0.069005,0.520645,-0.338619,-0.060531,0.136379,-0.013273,0.008619,0.0,0.0,0.564052,0.474535,-1.186896,-0.456031,-0.041524,0.0,0.0,-1.661356,0.296842,0.032051,-0.03144,0.231168,0.703174,-2.468946,0.20106,0.734591,2.908458,0.057733,-0.038627
0.24,0.0213209416499052,0.1088519543618952,0.6370423000382446,0.8691691648511614,0.0235806932990564,0.0078656376660242,0.4938897098741553,0.127939,0.593065,0.034064,0.392583,-0.482322,1.63426,0.411128439295544,0.0578371219117389,-0.0811114667783679,0.0951030419428342,-0.0223519172466704,0.585038646885251,0.1845441629496476,0.0106549116908312,0.0,0.0,-0.0042017934430492,-0.0102537324231533,0.2797742976213965,0.0743498017639743,0.006852261235813,0.0,0.0,0.0926233376824402,-0.0855552469499618,0.5892307656745742,0.2058169134820432,0.1781357356665041,0.0656571851188263,0.520167997550675,0.2372020554832943,-0.5502323098661175,0.5017994325625638,0.1223585782450741,-0.1609231674471792,-2.074349,-0.210468,0.781259,-0.510346,-0.034508,0.003797,-0.000648,0.006066,0.0,0.0,0.73351,0.0479,-1.197712,-0.543677,-0.069888,0.0,0.0,-2.349905,0.407747,0.194822,-0.275525,0.130073,0.5631,-5.439383,-0.203331,1.973452,3.976105,0.122944,-0.016953
0.26,0.0241668565130655,0.1224102608495759,0.6377876806969985,0.8600399749800983,0.0244373867585793,0.0013541600167263,0.5096393056027886,0.137604,0.661485,0.035718,0.391927,-0.523785,1.677659,0.3634039873712956,0.0521254385108069,-0.0628055365068753,0.0830188875611962,-0.0229770348801781,0.5835757527440183,0.1846901534080441,0.0107323666333773,0.0,0.0,0.0121842608055518,-0.0145286896792565,0.2559540120872572,0.062626206309171,0.0051430484137088,0.0,0.0,0.0384629586537776,-0.0762409203481639,0.5949126289828669,0.1976020604952342,0.1795683292645419,0.0751507878469101,0.3794894342494481,0.2284320809767492,-0.4971672902945497,0.5919281576068945,0.1254966513605349,-0.1610192052809496,-2.331526,-0.286897,0.889958,-0.600706,-0.027615,-0.096217,0.011435,0.002772,0.0,0.0,0.795512,-0.262179,-1.119937,-0.559587,-0.084815,0.0,0.0,-2.646439,0.452864,0.291255,-0.431125,0.050513,0.412109,-6.767689,-0.506884,2.708627,4.039989,0.152307,-0.003137
0.28,0.0268250951553772,0.135311343162971,0.6384710055438753,0.8519334256418656,0.0249390689635998,-0.0043186842726845,0.5230380770837796,0.118538,0.580943,0.029691,0.334939,-0.479126,1.488465,0.3178673988792935,0.046361257128214,-0.0455131555613215,0.0710747996223647,-0.0234565055881634,0.5811899528129899,0.1850015437480088,0.0107657741873073,0.0,0.0,0.0276186919016118,-0.0207408886819993,0.234976814548294,0.0519663130568098,0.0034596694817016,0.0,0.0,-0.0132342104852437,-0.0674407054430377,0.6008809520689451,0.1885719273772454,0.1801562671420832,0.0821415590048484,0.2494604301301014,0.2169267009209476,-0.4418872355442622,0.6633989787335839,0.1284508773380397,-0.1610486406900605,-2.050106,-0.259678,0.765248,-0.552979,-0.02074,-0.13208,0.020838,0.000429,0.0,0.0,0.693586,-0.309675,-0.919881,-0.466192,-0.07733,0.0,0.0,-2.326185,0.393847,0.279846,-0.434858,0.012418,0.269284,-5.53751,-0.602673,2.597116,2.661264,0.125388,0.002041
0.3,0.0289083809999999,0.14564799,0.63897534,0.8442793485305815,0.025261386956034,-0.0095709019833424,0.5352220490684776,0.089802,0.456549,0.020455,0.225046,-0.386807,1.114668,0.28139976,0.041738316,-0.03219562,0.060899727,-0.023806622,0.57829255,0.18552369,0.010749533,0.0,0.0,0.039927687,-0.026915686,0.21915877,0.04397851,0.002049853,0.0,0.0,-0.054584447,-0.06048706,0.60610646,0.1802077599999999,0.180065065,0.0859221529999999,0.15798903,0.2043251799999999,-0.39328265,0.6983787,0.130512189,-0.160937547,-1.611981,-0.210766,0.572944,-0.473686,-0.014576,-0.174215,0.033972,-0.002747,0.0,0.0,0.538696,-0.360088,-0.637433,-0.328115,-0.0654,0.0,0.0,-1.826581,0.303911,0.256384,-0.422999,-0.03548,0.07816,-3.874423,-0.70439,2.357159,0.916978,0.082788,0.013048
0.32,0.0304171601376189,0.1535732891010647,0.6392892193320596,0.8398807845998133,0.0248139296619079,-0.0126967413626122,0.5420547290758626,0.071323,0.383439,0.015223,0.126576,-0.320281,0.817166,0.2533881632476344,0.0379306223299256,-0.0225953985597203,0.0521273723555244,-0.0240395517928413,0.5742213524052802,0.1863604295902397,0.0106559107456147,0.0,0.0,0.0491665369290431,-0.0351444113807163,0.2094794865719222,0.038841702007305,0.0008436500930602,0.0,0.0,-0.0862974463131179,-0.0552842676191642,0.6111363230318332,0.1716519570376474,0.1787370552802657,0.0852679653560008,0.0944835051585749,0.1887511100077788,-0.3476008770021266,0.7000781011013957,0.1317623880511041,-0.160526710030739,-1.363664,-0.197177,0.456682,-0.441229,-0.001823,-0.228112,0.044335,-0.005637,0.0,0.0,0.442178,-0.428216,-0.415201,-0.233953,-0.058684,0.0,0.0,-1.546185,0.247662,0.250997,-0.455878,-0.086127,-0.099954,-3.112576,-0.876142,2.365994,-0.219289,0.059525,0.006573
0.34,0.0317613188536409,0.1609855462044145,0.6395842765462749,0.8352739842505286,0.0241228049235656,-0.0159175018654333,0.5490738517278267,0.077786,0.433497,0.011626,0.104111,-0.353298,0.856693,0.2268531991781645,0.0338512210484438,-0.0139283252080336,0.0432505689717436,-0.0238795589279774,0.5691680799762374,0.1872970847195391,0.0105240346619512,0.0,0.0,0.0576148180347092,-0.0440443075268362,0.2025507344016086,0.034620375498623,-0.000297525101265,0.0,0.0,-0.1164318407485182,-0.0505805909589708,0.6161463408860033,0.1619726579411649,0.1766199992095208,0.0819239745012792,0.0334859934658357,0.1692795156893497,-0.2986429031216596,0.6896071591394161,0.1328932076860166,-0.1606746153434341,-1.531847,-0.198205,0.459213,-0.544038,0.043904,-0.320328,0.076177,-0.003637,0.0,0.0,0.508654,-0.39198,-0.465433,-0.219737,-0.067486,0.0,0.0,-1.734593,0.266806,0.301875,-0.586629,-0.126238,-0.213171,-3.478827,-1.218261,2.938848,-0.789801,0.03158,0.003621
0.36,0.0335286194444502,0.1709131671156692,0.6397542474605548,0.8303055228949455,0.0229460169751008,-0.0193286369264148,0.5565003349052869,0.113765,0.645432,-0.008232,0.052561,-0.400687,0.969686,0.1921143007076598,0.0300024330569673,-0.0042268589258262,0.0303658583279193,-0.0222834019156284,0.561408225679403,0.189407511979072,0.0105104206742514,0.0,0.0,0.0695127123755062,-0.0508235953723004,0.1908621644068646,0.030052228117035,-0.0018557751422883,0.0,0.0,-0.1556811821718216,-0.0446120465427078,0.6232113170796225,0.1481867807027471,0.1736875445117811,0.0767411074625678,-0.0446695695687779,0.1400206565757605,-0.2300469477283648,0.6684860537697851,0.1330255790076884,-0.1603818748183641,-2.17734,-0.112805,0.500734,-0.896541,0.159937,-0.562487,0.204506,0.009079,0.0,0.0,0.817367,-0.206465,-0.968821,-0.222058,-0.109611,0.0,0.0,-2.435195,0.374224,0.516544,-0.919799,-0.190725,-0.338294,-4.405859,-1.997968,4.573533,-2.100217,-0.097046,0.122497
0.38,0.0363119009243891,0.1868028139396607,0.6392550004685774,0.8242870314576969,0.0209104211912431,-0.0227110002858962,0.565329863462277,0.146416,0.83668,-0.03733,-0.002397,-0.438877,1.099607,0.1397596177317693,0.029339019422965,0.0061010290004518,0.0073889221611722,-0.0174820947890192,0.5466685975396917,0.1954773137938826,0.0108872043718931,0.0,0.0,0.0903094962745468,-0.0523029054149371,0.1637978953935419,0.0257380375171369,-0.0046819695761642,0.0,0.0,-0.2138396397814431,-0.035611638607223,0.6368080974669887,0.1251806978228462,0.1689910121947642,0.0683922287978691,-0.1427483788195935,0.0893608045805749,-0.115701585242863,0.6055984643835335,0.1290113774275736,-0.1557747223206943,-2.706044,0.036542,0.476912,-1.235957,0.263163,-0.800331,0.355006,0.023873,0.0,0.0,1.116137,0.01724,-1.544503,-0.190824,-0.154349,0.0,0.0,-2.993256,0.468489,0.755645,-1.210788,-0.243119,-0.425617,-4.763366,-2.678789,6.036057,-3.677207,-0.269941,0.321337
